sex,sexpref,age,agata,alexandra,alica,anastazie,andrea,anezka,apolena,bera,blazana,bohdana,christianne,darjal,dobromila,dorota,edita,eleanora,elena,ema,gabriela,galina,gejza,ida,ingrid,ingrida,irena,jitka,karina,katy,livia,marika,matylda,milena,miloslava,nicol,perla,radmila,roxanne,saskie,slavena,stela,tamara,valerie,viktoria,viola,vlasta,zelmira,zita,zlata,zlatica,zora
male,women,27.6,3,7,6,7,3,5,5,3,6,5,4,3,3,4,1,6,7,4,3,2,4,4,7,5,7,5,5,3,5,4,4,4,7,4,3,7,6,2,1,3,5,7,4,6,4,4,5,3,6,7
male,women,29,4,1,4,3,3,5,1,6,6,4,4,1,3,6,7,3,6,5,6,3,3,3,3,3,2,6,4,6,5,6,6,6,3,2,3,6,2,5,6,6,6,6,4,5,3,1,5,2,3,4
male,women,23.2,3,6,3,6,5,7,3,5,6,3,5,2,5,6,2,2,5,4,3,5,6,1,5,5,3,4,4,2,2,6,3,4,3,4,4,6,5,5,1,4,3,6,3,5,4,6,5,3,6,5
male,women,18.3,5,3,7,5,7,4,7,4,5,7,2,2,2,4,5,1,7,6,5,7,3,5,7,6,5,5,6,7,7,2,7,6,7,7,5,6,1,3,3,5,7,5,7,6,7,4,7,7,7,4
male,women,37.6,4,4,1,3,1,1,3,2,5,4,2,1,2,5,2,4,3,6,4,2,3,1,5,2,7,5,3,6,3,1,4,4,6,4,4,7,2,4,3,4,5,1,4,1,3,4,4,5,3,1
male,women,32.3,3,5,3,5,4,3,3,2,5,2,2,5,4,4,4,6,3,4,3,3,4,3,6,4,3,3,6,3,5,4,3,5,3,5,3,6,5,3,5,5,5,3,3,6,4,5,5,4,6,4
male,women,40.2,5,4,4,4,3,4,4,4,4,4,4,5,2,5,3,4,5,5,5,5,2,4,4,4,4,3,2,3,4,5,3,4,6,3,3,5,4,3,4,3,4,4,3,3,5,5,5,3,5,5
female,men,24.8,5,6,3,6,6,4,4,3,5,3,3,3,5,4,6,3,4,4,4,6,5,3,5,4,4,5,5,4,5,5,6,6,3,5,3,4,5,6,2,3,5,6,3,4,5,5,4,6,6,3
female,men,20.5,4,4,4,6,5,2,3,3,5,3,3,4,4,4,3,2,3,3,2,5,5,3,4,3,5,5,5,4,5,6,2,4,5,3,2,5,4,4,2,4,5,4,2,4,5,6,3,4,5,2
female,men,33.9,2,7,4,2,3,4,4,2,6,3,5,4,3,6,6,5,6,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4,5,4,4,6,3,5,6,5,7,4,5,4,4,4,3,5,7
female,men,40.1,5,6,3,6,7,6,6,3,6,4,6,5,6,6,6,4,6,6,3,7,6,5,7,7,6,6,6,4,6,5,1,6,6,5,5,7,7,7,3,4,5,7,4,6,6,6,6,4,7,6
female,men,20.1,2,6,2,7,3,2,1,2,5,3,5,2,3,6,1,2,6,1,1,5,3,4,2,6,2,5,2,1,1,3,3,2,4,5,2,5,3,5,1,5,3,5,2,3,5,7,2,4,6,4
female,men,34.9,3,6,1,5,2,3,6,3,4,3,7,1,2,5,4,2,4,6,2,7,3,5,6,6,5,4,4,1,5,2,4,1,3,5,2,4,7,3,1,2,3,5,3,4,2,7,2,4,7,3
female,men,25.8,5,5,3,5,5,4,5,4,6,4,2,3,4,4,5,7,3,3,3,5,5,4,4,5,3,3,5,4,4,3,6,4,4,2,2,3,4,5,2,3,5,2,4,5,5,2,4,4,4,3
female,men,26.2,2,6,2,5,3,3,6,1,5,2,5,2,5,5,4,5,6,4,3,5,5,4,2,5,3,3,6,2,6,2,2,5,5,3,2,3,5,2,2,5,5,6,5,4,2,4,6,4,6,2
female,men,22.6,4,5,2,5,4,3,3,2,5,2,2,6,5,5,1,1,6,4,2,6,1,3,4,4,7,3,4,2,2,3,4,4,3,4,4,4,4,3,2,3,3,4,2,3,3,4,4,5,5,4
female,men,28.1,4,7,2,7,4,6,4,4,4,4,4,6,6,7,4,4,5,5,3,6,5,2,6,4,3,2,5,3,6,4,5,4,5,5,2,4,6,3,3,6,4,6,3,4,5,6,7,4,6,5
female,men,23.7,2,5,2,5,5,2,4,1,2,6,1,2,6,5,2,3,1,1,4,6,2,3,2,4,3,3,3,4,2,2,2,2,1,2,4,3,4,2,1,2,7,3,3,1,4,3,1,4,4,1
female,men,23.5,2,1,1,3,4,1,1,1,4,1,2,2,5,4,1,2,2,1,2,3,2,2,3,2,1,5,2,3,2,6,1,1,4,1,1,2,5,2,1,2,1,1,1,3,3,6,2,4,4,1
female,men,32,3,7,2,4,5,2,4,3,3,2,1,2,3,6,2,3,5,2,1,5,6,1,2,3,6,5,4,3,3,1,3,5,2,1,4,6,6,2,1,2,1,5,3,6,5,6,2,5,7,6
female,men,22.4,4,2,6,7,7,2,4,2,2,1,1,4,3,1,2,2,1,3,3,6,3,5,4,4,3,2,2,4,2,5,5,2,3,4,5,3,3,6,2,1,6,2,2,3,7,3,1,6,4,2
female,men,18.3,4,5,4,6,5,5,4,4,5,4,3,3,6,6,2,7,7,5,5,6,3,4,4,4,5,4,6,4,3,3,5,7,5,6,4,5,5,4,2,2,5,2,4,5,6,5,3,5,6,2
female,men,19.8,4,5,1,6,4,3,6,1,3,3,3,5,6,4,2,4,2,5,3,5,4,2,3,2,4,3,2,2,2,2,1,2,5,3,3,6,7,3,1,5,5,5,5,5,6,5,3,2,6,3
female,men,22.2,7,5,4,1,5,5,3,1,5,5,4,3,5,3,1,4,5,4,3,1,1,3,5,5,5,4,6,2,4,4,6,5,1,1,1,3,7,5,3,6,4,1,3,4,3,7,2,7,6,1
female,men,25.6,4,2,4,4,4,2,3,4,2,3,2,3,2,2,2,2,3,3,2,2,3,4,3,3,4,3,3,4,3,3,2,3,3,2,4,3,3,3,1,1,3,1,4,3,3,4,3,3,2,1
female,men,24.6,4,6,2,4,7,7,3,5,6,2,3,6,5,6,4,6,6,7,2,2,5,5,5,3,6,4,6,5,6,6,1,7,5,6,3,6,5,3,2,6,5,5,2,6,7,3,7,4,7,3
female,men,18.8,1,5,3,6,1,1,1,1,4,3,5,1,4,2,3,5,7,4,1,4,4,2,4,3,3,7,5,3,3,1,6,2,5,1,3,6,5,3,1,2,5,7,3,4,1,1,5,2,4,5
female,men,29.3,5,6,3,6,4,5,3,3,6,4,5,5,5,5,3,3,6,4,3,6,5,5,5,4,5,3,5,3,6,5,4,5,6,5,4,4,3,3,3,5,4,6,3,5,6,5,5,6,6,3
female,men,28.3,4,4,3,6,5,2,5,3,5,3,4,3,5,5,6,1,4,5,2,6,5,3,5,5,4,4,6,2,5,7,1,4,5,5,3,6,6,4,2,4,3,5,4,4,5,2,5,4,5,2
female,men,21.3,7,7,7,7,7,7,7,7,7,5,7,7,7,6,7,7,2,7,3,7,4,7,6,7,7,4,7,7,4,7,7,7,7,7,5,6,3,7,7,7,4,4,4,7,7,7,7,4,7,7
female,men,19.5,4,6,3,3,5,5,4,3,5,2,6,2,4,5,2,6,7,6,2,5,4,5,3,5,2,3,2,3,3,2,4,3,5,6,5,3,6,1,2,4,7,7,2,3,6,4,4,2,6,3
female,men,25.7,3,4,3,2,5,3,4,3,2,2,4,3,5,2,2,3,2,4,3,3,2,2,4,3,2,4,4,2,4,4,3,3,3,2,2,4,5,5,2,2,4,3,3,3,3,4,4,3,4,4
female,men,22.7,7,4,1,5,5,3,6,2,1,2,4,4,3,2,3,3,5,2,2,5,3,1,3,2,7,2,2,1,6,1,7,5,2,2,1,4,3,1,1,2,6,7,2,1,4,6,3,4,5,3
female,men,24.4,4,5,3,7,3,3,6,6,6,4,3,3,4,5,3,1,4,3,4,6,4,2,2,6,1,6,5,4,5,6,3,5,7,5,5,7,6,6,6,5,5,7,2,4,4,5,5,5,5,2
female,men,25.3,5,3,2,5,4,6,2,3,7,2,5,7,4,6,5,3,7,7,7,3,5,7,7,2,5,4,5,2,7,3,1,4,7,3,1,4,3,1,1,6,7,7,4,2,5,5,7,5,6,2
female,men,27.5,2,3,4,4,1,2,3,1,2,1,1,2,4,3,3,4,5,2,2,4,1,1,3,3,3,2,2,1,2,1,2,4,4,4,1,2,3,2,5,2,3,2,3,4,2,5,3,1,3,1
female,men,22,6,6,2,5,1,5,3,3,2,2,5,3,6,4,3,2,6,3,3,7,2,4,5,4,5,6,5,2,5,5,4,5,2,6,4,5,4,3,4,3,3,5,4,4,3,4,5,3,6,4
female,men,32.3,2,7,1,7,4,4,5,1,4,2,3,2,5,1,4,2,5,1,5,7,7,2,1,3,5,5,2,1,2,1,5,6,1,3,1,5,4,1,1,1,6,7,1,1,3,1,5,2,6,6
female,men,21,6,7,3,7,5,2,5,2,5,1,2,3,4,3,3,2,5,2,2,7,3,1,5,5,5,6,2,3,5,5,4,5,5,4,2,5,6,2,5,3,4,3,2,4,4,6,4,4,6,2
female,men,23.7,3,3,2,3,3,2,3,3,5,5,3,3,4,3,3,2,3,3,4,3,3,3,3,4,3,3,3,4,3,2,3,4,4,2,4,5,4,2,2,2,3,2,4,5,3,2,2,5,3,2
female,men,21,3,6,7,5,1,4,3,4,3,7,5,1,7,1,1,4,2,2,7,6,6,6,5,3,6,3,6,3,2,1,3,7,1,2,4,5,3,4,5,6,4,2,4,2,7,2,3,7,5,5
female,men,22.5,3,7,3,3,7,3,3,3,3,7,6,3,6,7,6,6,7,7,6,6,7,4,7,6,7,7,7,3,7,7,1,3,6,6,3,7,6,3,6,7,7,6,5,7,6,3,6,7,7,2
female,men,27.1,4,4,2,5,6,4,3,2,5,4,3,2,5,3,3,3,3,5,3,5,3,5,5,4,3,3,6,2,4,2,4,5,4,4,5,5,5,2,2,4,5,6,3,4,4,4,4,4,4,2
female,men,30.4,3,3,3,5,4,3,4,3,4,3,4,4,3,4,2,3,5,4,4,4,5,4,4,4,4,3,3,3,5,3,5,3,3,4,3,3,3,3,4,3,3,5,3,3,5,4,5,3,3,4
female,men,24.8,5,4,2,3,5,5,3,4,5,3,1,2,4,4,4,2,4,4,3,4,2,2,5,5,4,5,5,5,3,5,2,6,3,5,4,6,4,4,2,2,2,2,2,4,5,5,6,5,2,2
female,men,20.8,3,6,4,6,1,3,3,1,2,3,3,1,3,5,7,1,3,3,3,6,3,3,3,7,1,2,1,1,2,6,4,1,2,1,1,1,4,3,5,3,1,6,1,2,4,7,5,2,6,5
female,men,21.4,2,2,1,7,2,6,4,2,4,3,1,3,5,6,3,2,5,3,2,6,4,1,2,7,5,2,3,3,5,3,6,7,4,6,1,4,4,2,2,2,5,4,3,4,2,4,3,2,5,3
female,men,19.6,5,2,5,5,3,5,3,2,6,3,3,3,3,7,4,2,2,4,2,6,2,4,5,6,4,3,5,3,3,5,6,6,5,6,6,6,5,5,2,7,4,4,3,6,6,6,5,5,6,3
female,men,31.2,5,5,3,5,5,4,5,5,4,4,5,4,5,5,2,6,4,5,3,5,2,4,4,5,3,5,4,3,5,4,6,6,5,4,4,6,4,2,4,4,5,6,2,6,6,5,7,5,5,3
female,men,23.1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
female,men,37.1,6,5,3,6,4,6,4,6,5,4,4,6,4,3,3,5,5,2,5,6,4,4,5,5,5,4,4,2,4,2,6,2,3,5,3,4,5,4,4,3,3,5,3,2,4,5,4,4,5,4
female,men,27.6,4,2,2,3,3,6,1,2,1,6,7,6,4,2,3,1,5,2,6,2,1,2,4,2,5,3,3,6,5,5,2,3,7,6,4,5,6,3,4,2,1,1,5,2,5,2,7,4,3,3
female,men,22.5,4,6,3,6,3,2,4,3,4,4,3,2,4,5,3,2,5,4,4,2,2,3,4,5,4,5,4,3,2,4,2,3,3,3,4,6,4,2,3,3,3,5,3,4,5,4,3,4,4,3
female,men,18,1,6,2,1,2,5,1,1,3,2,4,1,3,2,1,1,4,4,1,4,1,1,3,3,4,4,4,1,1,4,2,3,2,3,2,1,5,1,1,1,1,7,1,1,3,5,5,2,4,3
female,men,35.9,1,3,1,5,1,2,2,2,2,1,2,1,3,2,2,2,5,2,1,3,3,2,2,3,2,2,5,1,1,2,1,3,4,3,1,3,3,1,1,1,1,6,1,2,3,2,2,2,2,4
female,men,35.5,4,6,3,5,4,4,5,2,6,4,4,6,5,5,5,2,7,6,3,5,6,4,4,5,4,4,5,5,6,4,6,4,6,3,3,5,6,5,2,5,7,7,3,6,6,7,6,4,5,4
female,men,24.7,4,6,2,6,2,6,3,1,6,3,4,3,6,4,7,2,6,4,1,6,2,2,3,2,3,3,5,1,6,4,7,5,6,4,3,3,3,2,1,2,2,6,1,2,4,7,3,3,3,3
female,men,18.3,1,2,1,5,2,2,1,3,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,5,1,2,6,1,1
female,men,23.5,3,4,3,4,2,4,4,3,4,3,3,3,5,4,3,3,4,4,5,5,4,4,5,5,3,3,3,2,4,4,2,5,4,4,4,5,5,3,2,4,5,5,4,5,5,4,5,3,5,3
female,men,19.5,4,6,2,5,5,4,4,4,4,3,4,4,5,5,3,3,3,3,2,5,4,5,4,4,4,5,5,4,4,3,5,5,4,4,3,4,4,3,1,4,3,5,3,4,5,4,5,4,5,4
female,men,18.7,4,6,2,7,4,6,5,1,6,2,2,4,3,5,2,4,2,7,3,2,5,2,4,4,4,5,5,2,2,3,1,4,3,5,5,7,6,3,1,2,5,3,3,4,5,5,6,6,7,1
female,men,31.3,5,5,3,6,6,5,6,6,4,4,4,5,6,5,4,6,4,5,3,5,4,2,5,5,5,7,6,5,4,5,5,6,5,5,4,5,6,5,4,5,6,6,4,4,5,3,6,6,6,6
female,men,28.5,2,3,3,5,4,5,4,4,3,3,5,5,5,4,5,6,2,5,4,5,4,5,4,4,2,2,5,4,5,3,2,2,3,3,2,3,2,2,3,4,2,3,4,4,3,5,5,4,2,3
female,men,25.7,4,5,5,3,4,4,5,3,5,3,5,3,3,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,4,4,3,5,4,3,5,4,4,5,5,5,5,4,4,4,4,5,4,4,5
female,men,20.9,2,2,1,2,5,4,3,5,2,4,1,2,3,2,3,2,2,2,2,3,1,1,3,1,4,3,3,4,1,4,2,3,1,1,5,1,3,1,1,3,4,1,3,3,2,2,2,7,2,1
female,men,21.1,3,3,3,3,3,3,4,1,6,3,2,4,5,6,4,4,5,3,3,5,4,3,4,4,3,3,4,3,3,2,3,4,4,2,5,7,5,4,3,4,5,7,4,3,5,6,4,3,6,6
female,men,30.1,2,4,2,4,5,2,2,2,2,4,1,3,4,2,6,2,3,6,3,4,2,1,3,3,4,4,4,3,1,3,1,3,2,2,4,3,5,3,2,1,3,2,4,2,4,5,6,3,3,1
female,men,20.6,4,4,3,5,3,3,3,3,5,4,3,2,4,3,3,3,3,3,3,3,3,3,4,3,3,5,3,4,3,3,3,5,4,4,3,3,5,3,3,2,3,3,3,3,4,4,4,5,5,3
female,men,31.6,4,5,2,4,5,2,4,2,3,4,2,3,5,2,3,5,3,6,2,3,3,2,3,3,4,4,3,1,2,3,2,5,4,3,4,5,4,3,1,4,5,5,2,5,2,5,3,4,3,1
female,men,20,4,2,3,4,3,3,4,4,3,4,3,2,4,2,3,3,3,5,3,4,2,3,2,3,3,4,3,3,4,4,2,3,3,3,4,4,4,4,3,3,3,3,4,4,2,2,4,2,3,3
female,men,23.4,4,5,2,5,2,3,3,1,4,3,2,1,5,3,2,1,5,3,1,6,3,2,5,5,2,5,4,3,2,3,3,4,2,2,3,5,4,3,2,2,2,6,2,2,5,6,4,6,5,3
female,men,24.4,3,3,3,4,5,4,3,3,4,6,4,3,4,4,3,4,5,3,4,4,5,5,4,3,4,3,4,5,3,3,4,2,2,4,4,3,4,2,3,4,4,3,4,4,5,2,3,4,4,4
female,men,19,1,5,5,3,4,1,6,5,3,5,5,5,3,2,5,1,7,5,5,7,3,5,4,2,7,1,4,5,5,3,5,6,1,4,4,1,5,4,5,5,2,5,7,5,5,4,6,2,4,5
female,men,30.3,5,7,1,6,6,5,7,3,5,2,3,1,4,6,1,4,1,5,2,3,1,1,6,3,1,7,6,3,1,5,2,4,2,1,3,5,5,6,2,2,5,4,3,3,6,7,2,4,7,1
female,men,20.8,3,2,1,5,5,3,4,4,4,3,2,3,5,2,1,2,3,4,3,3,4,1,3,5,4,3,4,2,2,3,3,3,2,3,2,5,4,2,2,3,5,2,2,2,5,5,3,4,5,2
female,men,22.1,2,3,1,6,5,4,5,2,6,3,1,3,4,3,1,2,2,7,2,6,7,1,6,2,4,3,4,1,5,4,1,4,5,4,3,7,3,3,1,4,6,5,3,2,4,2,6,5,7,3
female,men,18.3,3,4,3,7,6,4,7,3,5,3,3,3,7,7,4,4,2,2,5,7,5,4,5,5,5,7,3,3,4,3,6,5,2,4,4,5,6,4,3,5,4,3,3,5,4,5,6,7,6,1
female,men,19.3,3,6,5,4,3,4,5,2,5,2,4,5,6,3,1,3,7,4,2,5,3,5,3,5,5,3,4,2,4,5,4,6,4,6,3,4,6,2,2,3,6,7,4,4,4,5,5,5,6,3
female,men,23.9,6,6,5,6,5,6,7,3,6,2,2,7,5,6,5,6,5,6,4,7,7,2,4,5,2,1,3,4,6,3,7,7,4,7,7,4,5,4,4,4,6,7,5,6,5,5,4,3,7,6
female,men,26.2,2,1,1,5,4,1,4,1,2,2,2,1,1,2,2,3,7,4,1,4,2,2,2,2,2,2,1,2,2,1,1,3,4,1,2,2,2,2,2,2,1,1,2,2,6,1,2,5,3,1
female,men,18.3,3,7,2,7,2,3,1,1,6,2,4,4,4,4,3,2,4,5,4,7,2,4,6,3,6,4,5,2,3,2,4,5,4,4,6,5,6,5,7,3,5,7,2,5,5,7,6,3,6,6
female,men,19.9,4,2,1,7,5,5,4,6,3,4,2,3,5,4,3,3,5,2,3,7,2,4,3,3,5,1,3,4,2,3,2,1,3,3,2,6,1,4,4,2,3,2,4,5,3,1,2,3,4,1
female,men,22.8,3,7,7,4,3,3,3,1,7,1,1,1,3,6,7,3,1,1,3,7,5,3,2,3,1,2,7,1,1,6,7,7,3,1,3,3,1,5,1,3,1,7,1,1,4,7,1,4,1,3
female,men,29.3,2,6,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1
female,men,30.2,4,5,4,7,3,4,4,4,6,3,2,4,7,4,5,4,3,6,2,5,6,3,6,3,6,3,5,3,4,4,6,6,5,5,4,5,5,3,1,3,5,5,5,5,5,6,5,7,6,2
female,men,24.2,3,4,4,5,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4,5,3,3,4,3,3,3,3,3,3,4,2,3,3,2
female,men,22,3,1,1,2,4,2,2,4,2,5,1,2,1,1,2,1,1,1,3,2,4,1,1,1,2,1,1,2,1,1,1,1,3,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,3,1
female,men,20.4,7,6,2,7,3,6,2,2,6,2,2,3,2,6,2,3,5,5,3,2,2,7,4,5,3,5,5,2,2,2,5,3,3,2,1,2,2,5,1,3,3,6,3,3,6,7,6,4,2,5
female,men,18,7,4,5,4,1,5,3,1,7,6,2,3,4,5,2,5,7,2,7,1,3,1,7,1,1,2,1,5,6,3,1,6,1,2,1,2,1,4,7,4,4,3,1,1,6,7,6,3,7,1
female,men,22,1,1,3,4,7,3,5,1,2,3,1,4,2,2,2,1,2,2,3,6,1,5,7,3,1,6,7,6,3,4,2,4,5,6,5,4,5,6,3,4,5,7,7,7,2,3,6,1,6,7
female,men,26.2,5,4,1,7,5,4,2,2,5,3,3,3,4,2,1,2,6,5,2,3,2,4,4,4,4,4,4,2,5,5,4,3,4,6,3,4,5,2,1,3,5,2,1,6,4,7,6,3,5,3
female,men,22,2,1,2,6,3,3,2,1,3,3,2,1,2,2,2,1,1,1,1,1,5,2,2,1,4,2,2,2,1,2,1,1,2,1,1,4,2,1,2,2,1,1,1,2,4,1,1,1,1,1
female,men,30.8,3,3,4,6,4,7,4,3,5,3,2,3,5,4,1,3,4,3,4,5,4,4,5,5,6,4,3,3,3,4,4,5,4,3,3,5,4,5,3,3,3,7,2,5,4,6,4,4,5,4
female,men,31.7,3,3,7,4,6,6,7,4,5,4,4,2,3,7,2,5,7,4,4,2,5,2,7,1,4,5,5,5,5,3,2,3,6,4,1,6,3,4,3,1,1,4,4,6,3,1,7,1,6,2
female,men,21,5,3,3,1,5,1,1,5,2,2,5,2,3,5,5,3,1,5,1,3,1,5,1,1,3,5,1,3,1,1,5,3,5,3,3,5,1,5,3,5,1,2,2,5,1,2,2,3,2,2
